Community Area Number, Community, Percent of Housing Crowded, Percent Households Below Poverty, Percent Aged 16+ Unemployed, Percent Aged 25+ Without High School Diploma, Percent Aged Under 18 or over 64, Per Capita Income, Hardship Index,latitude,longitude
1, Rogers Park,7.7,23.6,8.7,18.2,27.5,23939,39,37.3117523,-78.7711105
2, West Ridge,7.8,17.2,8.8,20.8,38.5,23040,46,37.4701309,-78.2809067
3, Uptown,3.8,24,8.9,11.8,22.2,35787,20,41.9665,-87.6533
4, Lincoln Square,3.4,10.9,8.2,13.4,25.5,37524,17,41.9757004,-87.6891403
5, North Center,0.3,7.5,5.2,4.5,26.2,57123,6,41.9541092,-87.6814194
6, Lake View,1.1,11.4,4.7,2.6,17,60058,5,41.9436,-87.6584
7, Lincoln Park,0.8,12.3,5.1,3.6,21.5,71551,2,41.9214,-87.6513
8, Near North Side,1.9,12.9,7,2.5,22.6,88669,1,41.9001503,-87.6343307
9, Edison Park,1.1,3.3,6.5,7.4,35.3,40959,8,42.0079002,-87.8139877
10, Norwood Park,2,5.4,9,11.5,39.5,32875,21,41.9868088,-87.7930069
11, Jefferson Park,2.7,8.6,12.4,13.4,35.5,27751,25,39.377121,-105.8007431
12, Forest Glen,1.1,7.5,6.8,4.9,40.5,44164,11,41.9830017,-87.75
13, North Park,3.9,13.2,9.9,14.4,39,26576,33,39.4976273,-80.2548904
14, Albany Park,11.3,19.2,10,32.9,32,21323,53,41.9682884,-87.723381
15, Portage Park,4.1,11.6,12.6,19.3,34,24336,35,41.95504,-87.7645721
16, Irving Park,6.3,13.1,10,22.4,31.6,27249,34,36.1044617,-79.5447006
17, Dunning,5.2,10.6,10,16.2,33.6,26282,28,38.4957008,-80.1459732
18, Montclaire,8.1,15.3,13.8,23.5,38.6,22014,50,41.9294,-87.7982
19, Belmont Cragin,10.8,18.7,14.6,37.3,37.3,15461,70,39.8454018,-79.8995056
20, Hermosa,6.9,20.5,13.1,41.6,36.4,15089,71,40.2115936,-79.7651138
21, Avondale,6,15.3,9.2,24.7,31,20039,42,38.9659233,-77.0089798
22, Logan Square,3.2,16.8,8.2,14.8,26.2,31908,23,32.5110016,-84.9288712
23, Humboldt park,14.8,33.9,17.3,35.4,38,13781,85,41.9054375,-87.7023849
24, West Town,2.3,14.7,6.6,12.9,21.7,43198,10,39.8311195,-82.9250793
25, Austin,6.3,28.6,22.6,24.4,37.9,15957,73,30.2675896,-97.7429886
26, West Garfield Park,9.4,41.7,25.8,24.5,43.6,10934,92,41.8806,-87.7292
27, East Garfield Park,8.2,42.4,19.6,21.3,43.2,12961,83,41.8819,-87.7025
28, Near West Side,3.8,20.6,10.7,9.6,22.2,44689,15,41.8811,-87.663
29, North Lawndale,7.4,43.1,21.2,27.6,42.7,12034,87,33.8986206,-118.3538513
30, South Lawndale,15.2,30.7,15.8,54.8,33.8,10402,96,33.8986206,-118.3538513
31, Lower West Side,9.6,25.8,15.8,40.7,32.6,16444,76,41.8489,-87.6695
32, Loop,1.5,14.7,5.7,3.1,13.5,65526,3,41.8786,-87.6251
33, Near South Side,1.3,13.8,4.9,7.4,21.8,59077,7,41.8565,-87.6201
34, Armour Square,5.7,40.1,16.7,34.5,38.3,16148,82,41.8345795,-87.6318893
35, Douglas,1.8,29.6,18.2,14.3,30.7,23791,47,10.2567377,-74.2584839
36, Oakland,1.3,39.7,28.7,18.4,40.4,19252,78,37.8050804,-122.2730713
37, Fuller Park,3.2,51.2,33.9,26.6,44.9,10432,97,41.8113747,-87.634552
38, Grand Boulevard,3.3,29.3,24.3,15.9,39.5,23472,57,41.8093109,-87.6214218
39, Kenwood,2.4,21.7,15.7,11.3,35.4,35911,26,41.8095,-87.5933
40, Washington Park,5.6,42.1,28.6,25.4,42.8,13785,88,48.675209,-122.2662125
41, Hyde Park,1.5,18.4,8.4,4.3,26.2,39056,14,32.3481903,-90.3118744
42, Woodlawn,2.9,30.7,23.4,16.5,36.1,18672,58,41.7802,-87.5939
43, South Shore,2.8,31.1,20,14,35.7,19398,55,39.9653893,-75.8791275
44, Chatham,3.3,27.8,24,14.5,40.3,18881,60,41.741,-87.6139
45, Avalon Park,1.4,17.2,21.1,10.6,39.3,24454,41,41.7420654,-87.5949631
46, South Chicago,4.7,29.8,19.7,26.6,41.1,16579,75,41.7226105,-87.5362473
47, Burnside,6.8,33,18.6,19.3,42.7,12515,79,41.6960526,-74.0536194
48, Calumet Heights,2.1,11.5,20,11,44,28887,38,41.7333603,-87.5774231
49, Roseland,2.5,19.8,20.3,16.9,41.2,17949,52,40.7933998,-76.2451401
50, Pullman,1.5,21.6,22.8,13.1,38.6,20588,51,38.7473907,-76.8490448
51, South Deering,4,29.2,16.3,21,39.5,14685,65,41.7099991,-87.5599976
52, East Side,6.8,19.2,12.1,31.9,42.8,17104,64,40.2626228,-76.8649139
53, West Pullman,3.3,25.9,19.4,20.5,42.1,16563,62,41.6795082,-87.6418915
54, Riverdale,5.8,56.5,34.6,27.5,51.5,8201,98,41.6611,-87.6038
55, Hegewisch,3.3,17.1,9.6,19.2,42.9,22677,44,41.6536789,-87.5462036
56, Garfield Ridge,2.6,8.8,11.3,19.3,38.1,26353,32,41.7907486,-87.7701416
57, Archer Heights,8.5,14.1,16.5,35.9,39.2,16134,67,41.8115005,-87.7255402
58, Brighton Park,14.4,23.6,13.9,45.1,39.3,13089,84,43.1382561,-76.2264557
59, McKinley Park,7.2,18.7,13.4,32.9,35.6,16954,61,41.8248749,-87.679718
60, Bridgeport,4.5,18.9,13.7,22.2,31.3,22694,43,41.181881,-73.1912689
61, New City,11.9,29,23,41.5,38.9,12765,91,41.8443222,-74.6124344
62, West Elsdon,11.1,15.6,16.7,37,37.7,15754,69,41.7914009,-87.7234116
63, Gage Park,15.8,23.4,18.2,51.5,38.8,12171,93,43.6833153,-79.7575989
64, Clearing,2.7,8.9,9.5,18.8,37.6,25113,29,38.5323639,-81.0343552
65, West Lawn,5.8,14.9,9.6,33.6,39.6,16907,56,41.7731514,-87.7244492
66, Chicago Lawn,7.6,27.9,17.1,31.2,40.6,13231,80,41.7754097,-87.6963425
67, West Englewood,4.8,34.4,35.9,26.3,40.7,11317,89,41.7775803,-87.6672287
68, Englewood,3.8,46.6,28,28.5,42.5,11888,94,40.8952484,-73.9746017
69, Greater Grand Crossing,3.6,29.6,23,16.5,41,17285,66,41.7620583,-87.6145782
70, Ashburn,4,10.4,11.7,17.7,36.9,23482,37,37.5349312,-75.8772278
71, Auburn Gresham,4,27.6,28.3,18.5,41.9,15528,74,41.7431908,-87.6550369
72, Beverly,0.9,5.1,8,3.7,40.5,39523,12,41.7171,-87.6762
73, Washington Height,1.1,16.9,20.8,13.7,42.6,19713,48,39.672081,-75.7233124
74, Mount Greenwood,1,3.4,8.7,4.3,36.8,34381,16,41.6914406,-87.7087326
75, Morgan Park,0.8,13.2,15,10.8,40.3,27149,30,42.0160522,-87.8277817
76, O'Hare,3.6,15.4,7.1,10.9,30.3,25828,24,41.9663696,-87.8485794
77, Edgewater,4.1,18.2,9.2,9.7,23.8,33385,19,41.9872,-87.6612
78, Chicago (City),4.7,19.7,12.9,19.5,33.5,28202, NULL,41.8842506,-87.6324463
