 community, PercentofHousingCrowded, PercentHouseholdsBelowPoverty, PercentAged16Unemployed, PercentAged25WithoutHighSchoolDiploma, PercentAgedUnder18orover64, PerCapitaIncome, HardshipIndex,latitude,longitude
ROGERS PARK,7.70,23.60,8.70,18.20,27.50,23939.00,39.00,42.0106,-87.6696
WEST RIDGE,7.80,17.20,8.80,20.80,38.50,23040.00,46.00,42.0006,-87.6926
UPTOWN,3.80,24.00,8.90,11.80,22.20,35787.00,20.00,41.9665,-87.6533
LINCOLN SQUARE,3.40,10.90,8.20,13.40,25.50,37524.00,17.00,41.9757004,-87.6891403
NORTH CENTER,0.30,7.50,5.20,4.50,26.20,57123.00,6.00,41.9541092,-87.6814194
LAKE VIEW,1.10,11.40,4.70,2.60,17.00,60058.00,5.00,41.9436,-87.6584
LINCOLN PARK,0.80,12.30,5.10,3.60,21.50,71551.00,2.00,41.9214,-87.6513
NEAR NORTH SIDE,1.90,12.90,7.00,2.50,22.60,88669.00,1.00,41.9001503,-87.6343307
EDISON PARK,1.10,3.30,6.50,7.40,35.30,40959.00,8.00,42.0079002,-87.8139877
NORWOOD PARK,2.00,5.40,9.00,11.50,39.50,32875.00,21.00,41.9868088,-87.7930069
JEFFERSON PARK,2.70,8.60,12.40,13.40,35.50,27751.00,25.00,41.9825,-87.7704
FOREST GLEN,1.10,7.50,6.80,4.90,40.50,44164.00,11.00,41.9830017,-87.7514
NORTH PARK,3.90,13.20,9.90,14.40,39.00,26576.00,33.00,41.9843,-87.726
ALBANY PARK,11.30,19.20,10.00,32.90,32.00,21323.00,53.00,41.9682884,-87.723381
PORTAGE PARK,4.10,11.60,12.60,19.30,34.00,24336.00,35.00,41.95504,-87.7645721
IRVING PARK,6.30,13.10,10.00,22.40,31.60,27249.00,34.00,41.953,-87.7212
DUNNING,5.20,10.60,10.00,16.20,33.60,26282.00,28.00,41.9472,-87.8065
MONTCLAIRE,8.10,15.30,13.80,23.50,38.60,22014.00,50.00,41.9294,-87.7982
BELMONT CRAGIN,10.80,18.70,14.60,37.30,37.30,15461.00,70.00,41.9264,-87.7659
HERMOSA,6.90,20.50,13.10,41.60,36.40,15089.00,71.00,41.9215,-87.7344
AVONDALE,6.00,15.30,9.20,24.70,31.00,20039.00,42.00,41.9415,-87.7025
LOGAN SQUARE,3.20,16.80,8.20,14.80,26.20,31908.00,23.00,41.9231,-87.7093
HUMBOLDT PARK,14.80,33.90,17.30,35.40,38.00,13781.00,85.00,41.9054375,-87.7023849
WEST TOWN,2.30,14.70,6.60,12.90,21.70,43198.00,10.00,41.8936,-87.6722
AUSTIN,6.30,28.60,22.60,24.40,37.90,15957.00,73.00,41.893,-87.7616
WEST GARFIELD PARK,9.40,41.70,25.80,24.50,43.60,10934.00,92.00,41.8806,-87.7292
EAST GARFIELD PARK,8.20,42.40,19.60,21.30,43.20,12961.00,83.00,41.8819,-87.7025
NEAR WEST SIDE,3.80,20.60,10.70,9.60,22.20,44689.00,15.00,41.8811,-87.663
NORTH LAWNDALE,7.40,43.10,21.20,27.60,42.70,12034.00,87.00,41.8585,-87.7139
LITTLE VILLAGE,15.20,30.70,15.80,54.80,33.80,10402.00,96.00,41.8458,-87.7058
LOWER WEST SIDE,9.60,25.80,15.80,40.70,32.60,16444.00,76.00,41.8489,-87.6695
LOOP,1.50,14.70,5.70,3.10,13.50,65526.00,3.00,41.8786,-87.6251
NEAR SOUTH SIDE,1.30,13.80,4.90,7.40,21.80,59077.00,7.00,41.8565,-87.6201
ARMOUR SQUARE,5.70,40.10,16.70,34.50,38.30,16148.00,82.00,41.8345795,-87.6318893
DOUGLAS,1.80,29.60,18.20,14.30,30.70,23791.00,47.00,41.8347,-87.618
OAKLAND,1.30,39.70,28.70,18.40,40.40,19252.00,78.00,41.8227,-87.6014
FULLER PARK,3.20,51.20,33.90,26.60,44.90,10432.00,97.00,41.8113747,-87.634552
GRAND BOULEVARD,3.30,29.30,24.30,15.90,39.50,23472.00,57.00,41.8093109,-87.6214218
KENWOOD,2.40,21.70,15.70,11.30,35.40,35911.00,26.00,41.8095,-87.5933
WASHINGTON PARK,5.60,42.10,28.60,25.40,42.80,13785.00,88.00,41.7932,-87.6176
HYDE PARK,1.50,18.40,8.40,4.30,26.20,39056.00,14.00,41.7943,-87.5907
WOODLAWN,2.90,30.70,23.40,16.50,36.10,18672.00,58.00,41.7802,-87.5939
SOUTH SHORE,2.80,31.10,20.00,14.00,35.70,19398.00,55.00,41.76,-87.5742
CHATHAM,3.30,27.80,24.00,14.50,40.30,18881.00,60.00,41.741,-87.6139
AVALON PARK,1.40,17.20,21.10,10.60,39.30,24454.00,41.00,41.7420654,-87.5949631
SOUTH CHICAGO,4.70,29.80,19.70,26.60,41.10,16579.00,75.00,41.7226105,-87.5362473
BURNSIDE,6.80,33.00,18.60,19.30,42.70,12515.00,79.00,41.7281,-87.5964
CALUMET HEIGHTS,2.10,11.50,20.00,11.00,44.00,28887.00,38.00,41.7333603,-87.5774231
ROSELAND,2.50,19.80,20.30,16.90,41.20,17949.00,52.00,41.7113,-87.6236
PULLMAN,1.50,21.60,22.80,13.10,38.60,20588.00,51.00,41.6895,-87.6061
SOUTH DEERING,4.00,29.20,16.30,21.00,39.50,14685.00,65.00,41.7099991,-87.5599976
EAST SIDE,6.80,19.20,12.10,31.90,42.80,17104.00,64.00,41.708,-87.5352
WEST PULLMAN,3.30,25.90,19.40,20.50,42.10,16563.00,62.00,41.6795082,-87.6418915
RIVERDALE,5.80,56.50,34.60,27.50,51.50,8201.00,98.00,41.6611,-87.6038
HEGEWISCH,3.30,17.10,9.60,19.20,42.90,22677.00,44.00,41.6536789,-87.5462036
GARFIELD RIDGE,2.60,8.80,11.30,19.30,38.10,26353.00,32.00,41.7907486,-87.7701416
ARCHER HEIGHTS,8.50,14.10,16.50,35.90,39.20,16134.00,67.00,41.8115005,-87.7255402
BRIGHTON PARK,14.40,23.60,13.90,45.10,39.30,13089.00,84.00,41.8194,-87.699
MCKINLEY PARK,7.20,18.70,13.40,32.90,35.60,16954.00,61.00,41.8248749,-87.679718
BRIDGEPORT,4.50,18.90,13.70,22.20,31.30,22694.00,43.00,41.8365,-87.6495
BACK OF THE YARDS,11.90,29.00,23.00,41.50,38.90,12765.00,91.00,41.8067,-87.668
WEST ELSDON,11.10,15.60,16.70,37.00,37.70,15754.00,69.00,41.7929,-87.7222
GAGE PARK,15.80,23.40,18.20,51.50,38.80,12171.00,93.00,41.7954,-87.6962
CLEARING,2.70,8.90,9.50,18.80,37.60,25113.00,29.00,41.7784,-87.7692
WEST LAWN,5.80,14.90,9.60,33.60,39.60,16907.00,56.00,41.7728,-87.7223
CHICAGO LAWN,7.60,27.90,17.10,31.20,40.60,13231.00,80.00,41.7754097,-87.6963425
WEST ENGLEWOOD,4.80,34.40,35.90,26.30,40.70,11317.00,89.00,41.7775803,-87.6672287
ENGLEWOOD,3.80,46.60,28.00,28.50,42.50,11888.00,94.00,41.7753,-87.6416
GREATER GRAND CROSSING,3.60,29.60,23.00,16.50,41.00,17285.00,66.00,41.7620583,-87.6145782
ASHBURN,4.00,10.40,11.70,17.70,36.90,23482.00,37.00,41.7479,-87.7072
AUBURN GRESHAM,4.00,27.60,28.30,18.50,41.90,15528.00,74.00,41.7431908,-87.6550369
BEVERLY,0.90,5.10,8.00,3.70,40.50,39523.00,12.00,41.7171,-87.6762
WASHINGTON HEIGHT,1.10,16.90,20.80,13.70,42.60,19713.00,48.00,41.716,-87.6506
MOUNT GREENWOOD,1.00,3.40,8.70,4.30,36.80,34381.00,16.00,41.6914406,-87.7087326
MORGAN PARK,0.80,13.20,15.00,10.80,40.30,27149.00,30.00,41.6878,-87.669
O'HARE,3.60,15.40,7.10,10.90,30.30,25828.00,24.00,41.9663696,-87.8485794
EDGEWATER,4.10,18.20,9.20,9.70,23.80,33385.00,19.00,41.9872,-87.6612
