area_num_1,CommunityAreaNumber,community,PercentofHousingCrowded,PercentHouseholdsBelowPoverty,PercentAged16Unemployed,PercentAged25WithoutHighSchoolDiploma,PercentAgedUnder18orover64,PerCapitaIncome,HardshipIndex,latitude,longitude
1,1,ROGERS PARK,7.7,23.6,8.7,18.2,27.5,23939,39,42.0106,-87.6696
2,2,WEST RIDGE,7.8,17.2,8.8,20.8,38.5,23040,46,42.0006,-87.6926
3,3,UPTOWN,3.8,24,8.9,11.8,22.2,35787,20,41.9665,-87.6533
4,4,LINCOLN SQUARE,3.4,10.9,8.2,13.4,25.5,37524,17,41.9757004,-87.6891403
5,5,NORTH CENTER,0.3,7.5,5.2,4.5,26.2,57123,6,41.9541092,-87.6814194
6,6,LAKE VIEW,1.1,11.4,4.7,2.6,17,60058,5,41.9436,-87.6584
7,7,LINCOLN PARK,0.8,12.3,5.1,3.6,21.5,71551,2,41.9214,-87.6513
8,8,NEAR NORTH SIDE,1.9,12.9,7,2.5,22.6,88669,1,41.9001503,-87.6343307
9,9,EDISON PARK,1.1,3.3,6.5,7.4,35.3,40959,8,42.0079002,-87.8139877
10,10,NORWOOD PARK,2,5.4,9,11.5,39.5,32875,21,41.9868088,-87.7930069
11,11,JEFFERSON PARK,2.7,8.6,12.4,13.4,35.5,27751,25,41.9825,-87.7704
12,12,FOREST GLEN,1.1,7.5,6.8,4.9,40.5,44164,11,41.9830017,-87.7514
13,13,NORTH PARK,3.9,13.2,9.9,14.4,39,26576,33,41.9843,-87.726
14,14,ALBANY PARK,11.3,19.2,10,32.9,32,21323,53,41.9682884,-87.723381
15,15,PORTAGE PARK,4.1,11.6,12.6,19.3,34,24336,35,41.95504,-87.7645721
16,16,IRVING PARK,6.3,13.1,10,22.4,31.6,27249,34,41.953,-87.7212
17,17,DUNNING,5.2,10.6,10,16.2,33.6,26282,28,41.9472,-87.8065
18,18,MONTCLAIRE,8.1,15.3,13.8,23.5,38.6,22014,50,41.9294,-87.7982
19,19,BELMONT CRAGIN,10.8,18.7,14.6,37.3,37.3,15461,70,41.9264,-87.7659
20,20,HERMOSA,6.9,20.5,13.1,41.6,36.4,15089,71,41.9215,-87.7344
21,21,AVONDALE,6,15.3,9.2,24.7,31,20039,42,41.9415,-87.7025
22,22,LOGAN SQUARE,3.2,16.8,8.2,14.8,26.2,31908,23,41.9231,-87.7093
23,23,HUMBOLDT PARK,14.8,33.9,17.3,35.4,38,13781,85,41.9054375,-87.7023849
24,24,WEST TOWN,2.3,14.7,6.6,12.9,21.7,43198,10,41.8936,-87.6722
25,25,AUSTIN,6.3,28.6,22.6,24.4,37.9,15957,73,41.893,-87.7616
26,26,WEST GARFIELD PARK,9.4,41.7,25.8,24.5,43.6,10934,92,41.8806,-87.7292
27,27,EAST GARFIELD PARK,8.2,42.4,19.6,21.3,43.2,12961,83,41.8819,-87.7025
28,28,NEAR WEST SIDE,3.8,20.6,10.7,9.6,22.2,44689,15,41.8811,-87.663
29,29,NORTH LAWNDALE,7.4,43.1,21.2,27.6,42.7,12034,87,41.8585,-87.7139
30,30,LITTLE VILLAGE,15.2,30.7,15.8,54.8,33.8,10402,96,41.8458,-87.7058
31,31,LOWER WEST SIDE,9.6,25.8,15.8,40.7,32.6,16444,76,41.8489,-87.6695
32,32,LOOP,1.5,14.7,5.7,3.1,13.5,65526,3,41.8786,-87.6251
33,33,NEAR SOUTH SIDE,1.3,13.8,4.9,7.4,21.8,59077,7,41.8565,-87.6201
34,34,ARMOUR SQUARE,5.7,40.1,16.7,34.5,38.3,16148,82,41.8345795,-87.6318893
35,35,DOUGLAS,1.8,29.6,18.2,14.3,30.7,23791,47,41.8347,-87.618
36,36,OAKLAND,1.3,39.7,28.7,18.4,40.4,19252,78,41.8227,-87.6014
37,37,FULLER PARK,3.2,51.2,33.9,26.6,44.9,10432,97,41.8113747,-87.634552
38,38,GRAND BOULEVARD,3.3,29.3,24.3,15.9,39.5,23472,57,41.8093109,-87.6214218
39,39,KENWOOD,2.4,21.7,15.7,11.3,35.4,35911,26,41.8095,-87.5933
40,40,WASHINGTON PARK,5.6,42.1,28.6,25.4,42.8,13785,88,41.7932,-87.6176
41,41,HYDE PARK,1.5,18.4,8.4,4.3,26.2,39056,14,41.7943,-87.5907
42,42,WOODLAWN,2.9,30.7,23.4,16.5,36.1,18672,58,41.7802,-87.5939
43,43,SOUTH SHORE,2.8,31.1,20,14,35.7,19398,55,41.76,-87.5742
44,44,CHATHAM,3.3,27.8,24,14.5,40.3,18881,60,41.741,-87.6139
45,45,AVALON PARK,1.4,17.2,21.1,10.6,39.3,24454,41,41.7420654,-87.5949631
46,46,SOUTH CHICAGO,4.7,29.8,19.7,26.6,41.1,16579,75,41.7226105,-87.5362473
47,47,BURNSIDE,6.8,33,18.6,19.3,42.7,12515,79,41.7281,-87.5964
48,48,CALUMET HEIGHTS,2.1,11.5,20,11,44,28887,38,41.7333603,-87.5774231
49,49,ROSELAND,2.5,19.8,20.3,16.9,41.2,17949,52,41.7113,-87.6236
50,50,PULLMAN,1.5,21.6,22.8,13.1,38.6,20588,51,41.6895,-87.6061
51,51,SOUTH DEERING,4,29.2,16.3,21,39.5,14685,65,41.7099991,-87.5599976
52,52,EAST SIDE,6.8,19.2,12.1,31.9,42.8,17104,64,41.708,-87.5352
53,53,WEST PULLMAN,3.3,25.9,19.4,20.5,42.1,16563,62,41.6795082,-87.6418915
54,54,RIVERDALE,5.8,56.5,34.6,27.5,51.5,8201,98,41.6611,-87.6038
